site,ID,point,socket,total_length,blade_length,socket_length,sock_bdiam,sock_sdiam,width,thickness,riv_dist
Ejsbol,E737,yes,yes,239,214,25,15,12.6,14,9,6
Ejsbol,E1211,no,yes,120,100,20,14.7,10.8,12,9,NA
Ejsbol,E1267,no,no,126,NA,NA,NA,NA,NA,NA,NA
Ejsbol,E1272,yes,yes,222,180,42,20.7,13.2,15,8,9
Ejsbol,E1273,no,yes,125,100,25,NA,12.6,14,9,NA
Ejsbol,E1277,yes,yes,150,124,26,18,14.4,14,8,5.7
Ejsbol,E1291,no,yes,130,105,25,13.8,10.2,10,8,NA
Ejsbol,E1317,no,yes,158,128,30,15.3,9.3,11,8,NA
Ejsbol,E1326,no,yes,200,168,32,17.1,11.7,12,10,NA
Ejsbol,E1338,yes,yes,250,205,45,18,12.9,15,8,7.5
Ejsbol,E1787,yes,yes,240,198,42,20.4,14.7,17,12,6
Ejsbol,E1790,no,yes,150,120,30,12.3,9.6,13,8,NA
Ejsbol,E1792,no,yes,305,255,50,NA,16.5,17,12,NA
Ejsbol,E1902,yes,yes,248,213,35,18.9,13.5,15,9,6
Ejsbol,E1986,no,no,220,180,40,NA,13.5,14,9,7.8
Ejsbol,E2295,no,no,200,185,15,15,12.3,13,8,NA
Ejsbol,E11845,no,no,120,108,12,NA,NA,12,10,NA
Nydam,N908,yes,yes,323,260,63,19,13,14,11,8
Nydam,N909,yes,yes,305,237,68,24,16.5,17,9.4,13
Nydam,N910,yes,yes,300,265,35,19,13.5,17,10.4,NA
Nydam,N911,yes,yes,274,246,28,15.5,14,16,12.4,3
Nydam,N912,yes,no,262,212,5,15.5,11.5,14,10.6,NA
Nydam,N913,yes,yes,260,238,22,17,16,15.5,11.4,NA
Nydam,N914,no,yes,252,210,42,18.5,13,14.5,12.4,5
Nydam,N915,yes,yes,245,202,43,18,13.5,14,12,6
Nydam,N916,no,no,238.5,185.5,53,18,13,12.5,10.6,6
Nydam,N917,yes,yes,235,193,42,16,12,13,10,9
Nydam,N918,yes,yes,228,194,34,18,12,12.5,10,6.5
Nydam,N919,yes,yes,224,168,56,18,10.5,11,10,5
Nydam,N920,no,no,220,NA,NA,15.5,NA,9,NA,NA
Nydam,N921,yes,no,218,187,31,17,12,15,11,NA
Nydam,N922,yes,yes,214,171,43,19,15,16,12.6,8
Nydam,N923,yes,yes,209,161,48,18,10.5,13,9.6,8
Nydam,N924,yes,yes,208,161,47,19,12,13,8,5
Nydam,N925,no,yes,205,152,53,19.5,13.5,13.5,9.6,8
Nydam,N926,no,no,201,158,43,15,9,11,9,NA
Nydam,N927,yes,yes,200,162,38,18,12,13,8.4,5
Nydam,N928,no,yes,194,154,40,19,13,14,10.8,12
Nydam,N929,yes,yes,194,168,26,12.5,9.5,11.5,9.2,NA
Nydam,N930,no,no,194,175,19,13,12,15.5,10.2,NA
Nydam,N931,yes,yes,194,158,36,17.5,11.5,12,11,8
Nydam,N932,yes,no,191,140,51,15.5,9,11,9,7
Nydam,N933,yes,yes,188,154,34,18,13,14.5,10.4,4
Nydam,N934,yes,yes,186,140,46,16,10,11,7.6,2.5
Nydam,N935,yes,no,182,153,29,NA,12,13,8.4,NA
Nydam,N936,yes,no,180,131,49,13.5,10,11,8.6,NA
Nydam,N937,yes,yes,177,140,37,16.5,11,11.5,9,5
Nydam,N938,no,no,176,139,37,14,11.5,13.5,8.4,5
Nydam,N939,yes,yes,176,141,35,16,10,11.5,9,5
Nydam,N940,no,no,174.5,124,50.5,21,14.5,15,9.4,8
Nydam,N941,no,no,174,134,40,16,13,13,NA,NA
Nydam,N942,no,yes,165,123,42,17.5,12.5,13,11.8,9
Nydam,N943,yes,yes,162,133,29,16,11,11,9.8,7
Nydam,N944,yes,yes,157,116,41,18,11,11,9,5
Nydam,N945,yes,no,157,NA,NA,NA,NA,11,8.6,NA
Nydam,N946,yes,yes,155,110,45,17,10,11,8.8,4
Nydam,N947,no,yes,154,120,34,15.5,12,13,9.8,3
Nydam,N948,no,no,145,NA,NA,12,NA,NA,10.4,NA
Nydam,N949,no,yes,143,106,37,17.5,11,12,9,6
Nydam,N950,no,no,141,NA,NA,NA,NA,13,NA,NA
Nydam,N951,no,no,138,NA,NA,NA,NA,10,NA,NA
Nydam,N952,no,yes,129,98,31,16,12,12,9.8,4
Nydam,N953,no,no,128,NA,NA,12.5,NA,11,NA,NA
Nydam,N954,no,no,99,NA,NA,NA,NA,11,NA,NA
Nydam,N955,yes,yes,212,156,56,20.5,14,14,9.8,5
Nydam,N957,yes,yes,288,274,14,18,17,15.5,11.4,7
Illerup,H,yes,yes,121,88,33,NA,8,11,6,NA
Illerup,AH,yes,yes,277,217,60,16,12,13,12,NA
Illerup,EI,no,yes,118,80,38,NA,13,13,9,NA
Illerup,KA,no,no,80,75,5,NA,NA,9,9,NA
Illerup,QC,yes,yes,150,105,45,17,12,13,11,8.8
Illerup,VA,yes,yes,215,167,48,20,11,14,9,9.4
Illerup,VB,yes,no,208,195,13,NA,NA,13,11,NA
Illerup,VC,yes,yes,185,140,45,17,12,13,10,NA
Illerup,YQ,yes,yes,255,215,40,21,11,15,10,NA
Illerup,ZF,yes,yes,148,109,39,17,11,13,10,8.4
Illerup,ACZ,yes,yes,160,120,40,18,8,12,8,NA
Illerup,BYN,no,no,159,134,25,NA,10,12,8,NA
Illerup,BYV,yes,yes,179,142,37,NA,11,18,9,NA
Illerup,BZF,yes,no,137,112,25,NA,7,10,7,NA
Illerup,CAD,yes,yes,179,145,34,17,10,11,9,NA
Illerup,CAF,yes,yes,245,210,35,NA,12,15,10,NA
Illerup,CGT,yes,yes,197,157,40,18,12,13,10,NA
Illerup,CJM,yes,yes,155,131,24,NA,9,11,8,NA
Illerup,CJN,yes,no,156,135,21,NA,9,10,9,NA
Illerup,CKM,yes,yes,194,158,36,15,10,10,9,NA
Illerup,CKN,yes,yes,203,161,42,16,9,12,9,NA
Illerup,CKO,no,no,138,107,31,NA,9,9,8,NA
Illerup,CKP,no,yes,134,96,38,NA,11,12,9,NA
Illerup,CKQ,yes,yes,185,135,50,NA,8,10,7,NA
Illerup,CKR,yes,yes,155,110,45,18,11,13,11,NA
Illerup,CKS,yes,yes,232,182,50,21,11,18,10,NA
Illerup,CME,yes,yes,152,126,26,17,11,12,10,NA
Illerup,DNN,yes,yes,222,184,38,19,11,13,10,NA
Illerup,DTG,yes,yes,192,157,35,16,10,12,10,8.3
Illerup,DWL,yes,yes,203,163,40,18,9,12,10,7.9
Illerup,EDP,yes,yes,182,155,27,17,11,12,10,NA
Illerup,EDS,yes,yes,253,198,55,20,15,15,12,10
Illerup,EDT,yes,yes,230,185,45,20,12,15,11,NA
Illerup,EDU,yes,yes,245,197,48,19,11,15,12,14.3
Illerup,EET,yes,yes,178,148,30,17,11,12,10,NA
Illerup,EEV,yes,yes,227,187,40,17,12,14,11,NA
Illerup,EEW,yes,yes,213,183,30,16,9,11,9,NA
Illerup,EGL,yes,yes,181,154,27,18,11,14,9,5
Illerup,EHM,yes,yes,212,172,40,17,10,13,9,NA
Illerup,ELH,no,no,176,176,NA,NA,NA,13,11,NA
Illerup,FAE,yes,yes,181,146,35,18,11,14,10,6.3
Illerup,FOP,yes,yes,178,133,45,18,10,12,9,NA
Illerup,GHL,yes,yes,250,215,35,20,14,13,10,13.4
Illerup,GKC,yes,yes,167,125,42,16,9,13,8,NA
Illerup,GKD,yes,yes,210,162,48,18,10,13,9,8.3
Illerup,GKQ,yes,yes,223,178,45,19,12,14,10,NA
Illerup,GMO,yes,yes,284,252,32,19,13,14,11,NA
Illerup,GMQ,yes,yes,212,177,35,19,13,14,10,12
Illerup,GNV,yes,yes,204,164,40,18,12,13,10,NA
Illerup,GOD,yes,yes,191,153,38,16,10,13,11,9.8
Illerup,GON,yes,yes,192,162,30,19,14,14,10,NA
Illerup,GPE,yes,yes,208,170,38,20,13,16,12,NA
Illerup,GXR,yes,yes,175,135,40,19,12,14,11,6.3
Illerup,GXS,yes,yes,184,144,40,17,10,13,10,6.5
Illerup,IKO,yes,yes,218,178,40,17,11,14,12,9.8
Illerup,SMX,yes,yes,180,140,40,16,12,14,12,NA
Illerup,WBV,yes,yes,176,136,40,18,13,14,11,NA
